Ville;Année;Sexe;total;<1;1-4;5-14;15-24;25-34;35-44;45-54;55-64;65-74;75-84;85-94;95
2;34;M;3499;945;94;28;0;0;40;57;78;235;420;610;992
2;35;T;7073;2628;476;48;15;8;28;60;107;321;577;974;1831
2;35;F;3631;1617;383;19;7;0;10;14;32;108;207;364;870
2;35;M;3434;1011;93;29;8;0;18;46;75;213;370;610;961
3;0;T;3204;644;63;52;0;15;68;68;72;191;334;686;1011
3;0;F;1557;444;50;22;0;8;22;23;24;67;99;266;532
3;0;M;1647;200;13;30;0;7;46;45;48;124;235;420;479
3;1;T;3210;611;99;52;8;9;44;69;57;164;339;723;1035
3;1;F;1583;424;82;23;0;0;11;23;27;51;99;277;566
3;1;M;1610;187;17;29;0;0;33;46;30;113;240;446;469
3;2;T;3042;629;76;37;0;14;42;70;57;142;330;667;978
3;2;F;1530;447;61;17;0;0;12;26;21;52;111;252;531
3;2;M;1507;182;15;20;0;9;30;44;36;90;219;415;447
3;3;T;3121;692;83;46;11;8;57;65;73;158;357;624;947
3;3;F;1530;473;67;16;0;0;19;14;19;50;139;250;483
3;3;M;1572;219;16;30;0;0;38;51;54;108;218;374;464
3;4;T;3080;683;95;43;9;10;47;54;57;141;353;579;1009
3;4;F;1492;450;70;15;0;0;12;15;21;53;104;222;530
3;4;M;1576;233;25;28;7;0;35;39;36;88;249;357;479
3;5;T;2962;587;73;41;9;10;42;57;91;152;350;545;1005
3;5;F;1437;403;59;14;0;0;9;17;45;49;108;211;522
3;5;M;1520;184;14;27;7;7;33;40;46;103;242;334;483
3;6;T;3003;654;85;40;0;12;53;71;75;146;273;552;1042
3;6;F;1507;445;70;19;0;0;16;19;27;53;89;229;540
3;6;M;1491;209;15;21;0;7;37;52;48;93;184;323;502
3;7;T;2829;616;76;35;0;7;47;57;73;127;294;517;980
3;7;F;1348;416;60;18;0;0;14;23;25;46;92;176;478
3;7;M;1474;200;16;17;0;0;33;34;48;81;202;341;502
3;8;T;2884;645;74;36;0;8;37;65;78;110;332;503;996
3;8;F;1401;438;60;14;0;0;10;13;35;49;110;175;497
3;8;M;1475;207;14;22;0;0;27;52;43;61;222;328;499
3;9;T;2696;630;69;27;7;7;34;55;71;104;284;461;947
3;9;F;1284;426;53;12;0;0;7;17;21;29;88;158;473
3;9;M;1398;204;16;15;0;0;27;38;50;75;196;303;474
3;10;T;2811;680;101;34;7;10;45;79;84;142;268;462;899
3;10;F;1352;443;79;15;0;0;9;24;26;48;105;150;453
3;10;M;1442;237;22;19;0;0;36;55;58;94;163;312;446
3;11;T;2739;688;66;38;0;11;40;63;80;105;254;444;950
3;11;F;1343;464;53;17;0;0;11;23;24;42;87;151;471
3;11;M;1392;224;13;21;0;7;29;40;56;63;167;293;479
3;12;T;2758;691;102;64;0;9;43;78;87;114;242;453;875
3;12;F;1314;463;82;25;0;0;14;11;20;29;80;173;417
3;12;M;1435;228;20;39;0;0;29;67;67;85;162;280;458
3;13;T;2779;754;90;39;8;0;42;103;118;135;199;481;810
3;13;F;1350;491;70;18;0;0;10;27;42;49;74;182;387
3;13;M;1421;263;20;21;0;0;32;76;76;86;125;299;423
3;14;T;2832;734;128;22;8;0;39;85;97;145;242;501;831
3;14;F;1310;453;99;11;0;0;8;19;16;47;74;185;398
3;14;M;1514;281;29;11;0;0;31;66;81;98;168;316;433
3;15;T;2687;720;96;25;0;0;33;95;113;148;206;493;758
3;15;F;1309;484;74;11;0;0;10;32;32;42;86;195;343
3;15;M;1378;236;22;14;0;0;23;63;81;106;120;298;415
3;16;T;2748;808;113;23;0;8;35;86;96;142;206;480;751
3;16;F;1340;534;88;9;0;0;12;25;35;49;74;167;347
3;16;M;1400;274;25;14;0;0;23;61;61;93;132;313;404
3;17;T;2762;840;121;24;0;7;20;65;94;145;214;453;779
3;17;F;1375;546;87;7;0;0;0;13;27;59;84;180;372
3;17;M;1375;294;34;17;0;0;15;52;67;86;130;273;407
3;18;T;2742;785;124;19;0;0;29;66;95;170;199;487;768
3;18;F;1346;487;105;0;0;0;12;18;31;62;66;187;378
3;18;M;1393;298;19;16;0;0;17;48;64;108;133;300;390
3;19;T;2897;889;151;20;0;0;24;51;95;186;226;467;788
3;19;F;1398;540;124;8;0;0;7;15;27;51;76;196;354
3;19;M;1499;349;27;12;0;0;17;36;68;135;150;271;434
3;20;T;2772;853;157;18;0;9;33;46;95;177;190;453;741
3;20;F;1397;558;122;11;0;0;8;14;32;60;68;188;336
3;20;M;1366;295;35;7;0;0;25;32;63;117;122;265;405
3;21;T;2773;856;143;21;0;0;29;61;92;174;191;426;780
3;21;F;1387;550;120;7;0;0;10;23;30;48;67;145;387
3;21;M;1386;306;23;14;0;0;19;38;62;126;124;281;393
3;22;T;2785;888;151;19;0;8;30;59;98;174;208;413;737
